Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-28,119.80000305175781,165.0,65.0999984741211,86.30000305175781,59122390,0.0,0.0
2021-01-29,143.10000610351562,160.0,116.0,132.60000610351562,60219330,0.0,0.0
2021-02-01,170.0,172.5,129.10000610351562,133.0,43460800,0.0,0.0
2021-02-02,94.80000305175781,101.0,60.0,78.19999694824219,46277590,0.0,0.0
2021-02-03,88.5,97.69999694824219,78.9000015258789,89.69999694824219,22140510,0.0,0.0
2021-02-04,87.0,87.4000015258789,70.0,70.9000015258789,16298580,0.0,0.0
2021-02-05,71.69999694824219,82.69999694824219,65.19999694824219,68.30000305175781,19709760,0.0,0.0
2021-02-08,68.80000305175781,68.9000015258789,57.5,61.79999923706055,12817150,0.0,0.0
2021-02-09,58.099998474121094,58.099998474121094,52.599998474121094,55.0,10258810,0.0,0.0
2021-02-10,57.099998474121094,65.9000015258789,54.5,58.0,15281080,0.0,0.0
2021-02-11,56.20000076293945,58.5,54.70000076293945,56.099998474121094,5592040,0.0,0.0
2021-02-12,57.20000076293945,59.70000076293945,55.20000076293945,55.900001525878906,4677300,0.0,0.0
2021-02-16,60.29999923706055,60.5,54.900001525878906,56.5,6116570,0.0,0.0
2021-02-17,55.79999923706055,56.20000076293945,53.20000076293945,55.5,3884900,0.0,0.0
2021-02-18,58.400001525878906,62.5,54.599998474121094,55.099998474121094,13054080,0.0,0.0
2021-02-19,55.400001525878906,57.70000076293945,55.099998474121094,57.0,4024910,0.0,0.0
2021-02-22,59.29999923706055,66.80000305175781,57.5,65.5,17340900,0.0,0.0
2021-02-23,69.69999694824219,78.5999984741211,60.099998474121094,77.0,26487640,0.0,0.0
2021-02-24,72.30000305175781,98.30000305175781,69.9000015258789,90.9000015258789,37688180,0.0,0.0
2021-02-25,108.9000015258789,110.0,78.5,82.9000015258789,44571740,0.0,0.0
2021-02-26,81.9000015258789,90.0999984741211,76.30000305175781,80.0999984741211,13702800,0.0,0.0
2021-03-01,88.5999984741211,94.5,84.19999694824219,91.80000305175781,14358650,0.0,0.0
2021-03-02,91.4000015258789,94.0,85.0999984741211,89.30000305175781,7813540,0.0,0.0
2021-03-03,89.5,91.4000015258789,85.0,85.80000305175781,5565190,0.0,0.0
2021-03-04,82.5,85.9000015258789,75.0,80.30000305175781,7782260,0.0,0.0
2021-03-05,80.80000305175781,82.69999694824219,76.30000305175781,80.5,5973410,0.0,0.0
2021-03-08,85.30000305175781,94.80000305175781,83.0999984741211,92.9000015258789,11434380,0.0,0.0
2021-03-09,93.80000305175781,107.69999694824219,92.19999694824219,105.0,15041560,0.0,0.0
2021-03-10,110.19999694824219,124.69999694824219,95.0999984741211,98.5,26191860,0.0,0.0
2021-03-11,106.5,108.69999694824219,99.0,102.80000305175781,8393360,0.0,0.0
2021-03-12,101.5999984741211,114.0,99.4000015258789,111.5999984741211,11114670,0.0,0.0
2021-03-15,121.80000305175781,144.89999389648438,118.5,140.39999389648438,27771330,0.0,0.0
2021-03-16,136.1999969482422,136.1999969482422,123.4000015258789,130.1999969482422,12596760,0.0,0.0
2021-03-17,132.39999389648438,136.60000610351562,130.0,135.60000610351562,7805360,0.0,0.0
2021-03-18,143.39999389648438,145.39999389648438,135.6999969482422,140.0,12141800,0.0,0.0
2021-03-19,141.39999389648438,141.8000030517578,132.8000030517578,139.3000030517578,15320600,0.0,0.0
2021-03-22,131.5,131.89999389648438,117.5999984741211,124.9000015258789,8876010,0.0,0.0
2021-03-23,114.5999984741211,119.30000305175781,103.69999694824219,106.5999984741211,8792320,0.0,0.0
2021-03-24,108.19999694824219,112.0999984741211,89.30000305175781,90.19999694824219,8185070,0.0,0.0
2021-03-25,89.5999984741211,113.19999694824219,89.5,109.4000015258789,13119280,0.0,0.0
2021-03-26,112.69999694824219,115.30000305175781,100.0999984741211,102.4000015258789,8463310,0.0,0.0
2021-03-29,103.19999694824219,107.5999984741211,100.9000015258789,103.5,3733070,0.0,0.0
2021-03-30,103.0999984741211,105.19999694824219,97.5999984741211,103.5,3902050,0.0,0.0
2021-03-31,104.0,104.69999694824219,100.5,102.0999984741211,2983230,0.0,0.0
2021-04-01,102.30000305175781,102.5999984741211,91.5,93.5999984741211,7747390,0.0,0.0
2021-04-05,101.0,112.5,97.19999694824219,106.0999984741211,9608230,0.0,0.0
2021-04-06,104.0,105.0,100.0,102.0,4406700,0.0,0.0
2021-04-07,100.69999694824219,101.80000305175781,98.5,98.5,2880430,0.0,0.0
2021-04-08,100.0999984741211,100.0999984741211,95.0,97.9000015258789,3340870,0.0,0.0
2021-04-09,96.0,97.4000015258789,92.4000015258789,94.19999694824219,2925460,0.0,0.0
2021-04-12,94.4000015258789,94.9000015258789,85.0999984741211,86.19999694824219,5126980,0.0,0.0
2021-04-13,86.5999984741211,91.19999694824219,83.0999984741211,88.4000015258789,4404910,0.0,0.0
2021-04-14,90.0,98.0999984741211,89.0,93.5,5116630,0.0,0.0
2021-04-15,98.80000305175781,102.30000305175781,95.80000305175781,99.0,4519890,0.0,0.0
2021-04-16,100.0,100.30000305175781,90.9000015258789,93.30000305175781,4069670,0.0,0.0
2021-04-19,94.80000305175781,98.0999984741211,93.80000305175781,96.5999984741211,3281430,0.0,0.0
2021-04-20,97.0,97.0999984741211,90.0999984741211,92.80000305175781,2700890,0.0,0.0
2021-04-21,92.5,98.0999984741211,91.4000015258789,97.80000305175781,2359820,0.0,0.0
2021-04-22,99.5,106.5,97.9000015258789,99.9000015258789,4992350,0.0,0.0
2021-04-23,100.9000015258789,103.80000305175781,99.5999984741211,101.5999984741211,2746560,0.0,0.0
2021-04-26,106.9000015258789,119.5999984741211,105.69999694824219,115.0,7859290,0.0,0.0
2021-04-27,116.80000305175781,122.19999694824219,112.19999694824219,114.5999984741211,5162980,0.0,0.0
